time,x,y,z
52.912,12.88342791067211,9.741433602821559,34.54044732069849
52.914,12.818954947594428,9.514175035925435,34.60352553877829
52.916000000000004,12.751258247178306,9.286922404180137,34.65920296125519
52.918,12.680404306982254,9.059931209530092,34.70752389343548
52.92,12.606463318724847,8.833451979846808,34.7485442880394
52.922000000000004,12.529508990532223,8.607729659463955,34.782331332366574
52.924,12.449618360987849,8.383003035633557,34.808963000980626
52.926,12.366871605882052,8.159504203043419,34.82852757721867
52.928000000000004,12.281351838580933,7.937458068215087,34.841123146950636
52.93,12.19314490494076,7.717081895251854,34.846857068101095
52.932,12.102339173709025,7.498584894099019,34.84584541949541
52.934000000000005,12.009025323355186,7.282167852151135,34.83821243261349
52.936,11.913296126259926,7.068022809698403,34.82408990982313
52.938,11.815246231188548,6.856332779413739,34.803616632622784
52.94,11.714971944956929,6.64727150976551,34.776937763353196
52.942,11.612571014164732,6.441003291967591,34.74420424374461
52.944,11.508142407860106,6.2376828097879935,34.705572193543944
52.946,11.401786101948623,6.037455031296406,34.661202312324484
52.948,11.293602866134917,5.840455141386981,34.61125928742188
52.95,11.183694054144139,5.646808513716638,34.55591121076431
52.952,11.072161397917073,5.456630720485403,34.495329007170376
52.954,10.959106806435768,5.270027578333953,34.42968587648989
52.956,10.844632169788438,5.087095228489147,34.35915675175388
52.958,10.728839169021235,4.907920249147364,34.2839177752785
52.96,10.611829092283534,4.7325797980077,34.204145794453666
52.962,10.493702657721766,4.561141782787293,34.12001787872934
52.964,10.374559843511735,4.393665057476394,34.0317108590801
52.966,10.25449972537979,4.23019964207999,33.939400891027404
52.968,10.133620321910978,4.070786963574582,33.84326304208597
52.97,10.012018447879424,3.9154601157964497,33.743470904286184
52.972,9.889789575798234,3.7642441360138736,33.64019623223753
52.974000000000004,9.767027705840876,3.6171562959696453,33.533608607023076
52.976,9.643825244219034,3.4742064052523056,33.42387512599729
52.978,9.520272890082584,3.3353971248668706,33.31116011844648
52.980000000000004,9.39645953095932,3.2007242889642,33.19562488690198
52.982,9.272472146692111,3.0701772328411367,33.077427473721045
52.984,9.148395721832616,2.9437391253394116,32.95672245250613
52.986000000000004,9.024313166372567,2.821387303872824,32.83366074369467
52.988,8.900305244741626,2.7030936105581187,32.70838945382325
52.99,8.776450512632337,2.588824727631291,32.581051736814004
52.992000000000004,8.652825262014593,2.4785425110982646,32.451786678039085
52.994,8.529503473638643,2.3722043216642628,32.32072919888008
52.996,8.406556777336888,2.269763347725986,32.18800998184468
52.998,8.28405441837305,2.1711689339146765,32.05375541257814
53,8.162063232331048,2.0763668860729503,31.918087542372852
53.002,8.04064762630224,1.9852997743845908,31.781124067390977
53.004,7.919869564792155,1.8979072411769107,31.642978320292833
53.006,7.799788563391306,1.8141262885389404,31.50375927961568
53.008,7.680461687789897,1.733891547026495,31.363571591153498
53.01,7.561943558063001,1.6571355726598949,31.22251560430317
53.012,7.444286358775323,1.5837890851310965,31.080687416915566
53.014,7.32753985320876,1.5137812156681383,30.93817893136904
