name,Ungültige,Gültige,SPD,Union,Grüne,FDP,AfD,Linke,SSW,Die PARTEI,FREIE WÄHLER,Volt,MLPD,BÜNDNIS DEUTSCHLAND,BSW,EB:Krüger-Winands,dieBasis,Team Todenhöfer,ÖDP,PdH,Tierschutzpartei,Übrige,EB:Baasch,EB:Kisifli,PIRATEN,EB:Dröse,EB:Michalsky,EB:Krüger,EB:Manske,EB:Knauer,EB:Nietfeld,EB:Bellgardt,EB:Wolter,EB:Hönig,MENSCHLICHE WELT,MERA25,Verjüngungsforschung,EB:Schultz,EB:Krämer,EB:Müller,EB:Kohle,EB:Gliese,EB:Kersten,EB:Sanftleben,EB:Hartwig,EB:Farle,BüSo,SGP,PdF,EB:Thomas,EB:Pape,EB:Wendt,EB:Heider,WerteUnion,Bündnis C,EB:Przybylski,EB:Füllmich,EB:Link,EB:Gaisenkersting,EB:Bachmann,EB:Neurauter,EB:Martinschledde,EB:Meyer,EB:Turck,EB:Schulte,EB:Busse,EB:Mauer,EB:Schubert,EB:Jäger,EB:Reitz,EB:Wächter,EB:Sollwedel,EB:Emre,EB:Stöber,EB:Hahn,EB:Pradel,EB:Papst,EB:Horn,EB:Hösch,BP,EB:Winter,EB:Lieb,EB:Treppe,EB:Dippel,EB:Zibi,EB:Hamid,EB:Dorn,EB:Wenz,EB:Demir,EB:Miller,EB:Weißer,EB:Otterbach,EB:Raidt
Neu-Ulm,0.360916,99.639084,10.745763,37.03787,8.954896,4.133505,23.223898,5.240985,NA,0.390908,3.76172,0.585519,0.021373,0.157488,3.686351,NA,0.414532,NA,0.327351,0.083806,1.076545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memmingen – Unterallgäu,0.307674,99.692326,9.048485,39.09381,8.342527,4.12169,23.401718,4.439259,NA,0.410007,5.447131,0.400316,0.017146,0.093929,3.027344,NA,0.538228,NA,0.626193,0.067092,0.74994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oberallgäu,0.372467,99.627533,10.532985,37.975505,12.357774,4.302522,17.511166,5.243977,NA,0.466539,5.117787,0.738293,0.023563,0.10001,3.311324,NA,0.641425,NA,0.517853,0.057597,0.955069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostallgäu,0.307663,99.692337,9.304559,40.101307,10.014881,3.809642,20.168307,4.737679,NA,0.483078,5.515442,0.571776,0.013928,0.106292,3.145502,NA,0.552717,NA,0.461819,0.069639,0.74111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stuttgart I,0.254156,99.745844,14.922724,26.169346,25.281243,7.272424,8.918753,10.841533,NA,0.424879,0.543004,1.272782,0.058135,0.068649,3.281527,NA,0.189866,NA,0.160799,NA,0.512082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.082255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stuttgart II,0.448504,99.551496,16.24265,26.781769,17.427257,5.820121,14.378657,10.863698,NA,0.498024,0.701696,1.024117,0.104355,0.084204,4.854299,NA,0.252611,NA,0.156892,NA,0.710333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.099317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Böblingen,0.451826,99.548174,14.402019,33.209979,13.945201,7.014508,17.532105,5.963631,NA,0.381335,1.461131,0.648466,0.053426,0.109303,4.015783,NA,0.223507,NA,0.160769,NA,0.672483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Esslingen,0.41898,99.58102,15.514906,32.516102,14.991859,5.739831,16.06461,7.162721,NA,0.411377,1.352286,0.791055,0.059797,0.098702,3.860895,NA,0.355182,NA,0.160661,NA,0.809787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nürtingen,0.439397,99.560603,14.12971,33.689418,13.566586,6.671074,17.994444,5.771584,NA,0.445975,1.542646,0.684332,0.033637,0.09917,3.738307,NA,0.40422,NA,0.18210200000000001,NA,0.850195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Göppingen,0.578272,99.421728,14.361914,33.466392,9.400538,5.540215,23.265406,5.450033,NA,0.422245,1.493935,0.472579,0.047537,0.106959,4.306337,NA,0.50963,NA,0.178965,NA,0.85917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.118145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Waiblingen,0.442899,99.557101,14.657874,33.325548,12.762698,6.781677,18.590541,5.828929,NA,0.385119,1.276487,0.630639,0.043455,0.116785,3.820227,NA,0.483436,NA,0.178708,NA,0.915812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.202065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ludwigsburg,0.397485,99.602515,15.087684,32.057422,14.876707,6.400768,16.881551,6.866816,NA,0.396839,1.186051,0.735073,0.034047,0.09321,3.960573,NA,0.361676,NA,0.200931,NA,0.733398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.127256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Neckar-Zaber,0.445658,99.554342,14.445407,33.141726,12.120482,6.305091,20.323356,5.32569,NA,0.413297,1.463462,0.754293,0.031279,0.098966,3.819667,NA,0.514314,NA,0.235364,NA,0.838901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
