name,countryName,countryCode3,LAT,LON,continentName,birthyear,gender,industry,domain,L_star,HPI,AverageViews
Lucien Febvre,FRANCE,FRA,48.693600000000004,6.1846,Europe,1878,Male,HISTORY,HUMANITIES,10.46782833,23.60710136,17137.5
Kevin Carter,SOUTH AFRICA,ZAF,-26.204444,28.045556,Africa,1960,Male,LANGUAGE,HUMANITIES,3.982177107,19.28749404,172414.5
Andy Richter,UNITED STATES,USA,42.96125,-85.655719,North America,1966,Male,FILM AND THEATRE,ARTS,1.809555021,16.65589507,79748.81481
Queen Sofía of Spain,GREECE,GRC,38.016667,23.766667,Europe,1938,Female,GOVERNMENT,INSTITUTIONS,6.735512265,24.23905442,81985.14286
Alejandro González Iñárritu,MEXICO,MEX,19.433333,-99.133333,North America,1963,Male,FILM AND THEATRE,ARTS,7.175870268,20.52896017,76377.2
Ayaan Hirsi Ali,SOMALIA,SOM,2.033333,45.35,Africa,1969,Female,PHILOSOPHY,HUMANITIES,4.534121793,19.246178,86077.27778
Fatih Akın,Germany,DEU,53.565278,10.001389,Europe,1973,Male,FILM AND THEATRE,ARTS,5.167072328,18.5712589,71799.30769
Hal Holbrook,UNITED STATES,USA,41.482222,-81.669722,North America,1925,Male,FILM AND THEATRE,ARTS,2.57915662,21.32974212,85811.3
Guillermo Vilas,Argentina,ARG,-34.603333,-58.381667,South America,1952,Male,INDIVIDUAL SPORTS,SPORTS,5.685935547,21.18117351,41353.33333
Buckminster Fuller,UNITED STATES,USA,42.25,-71.066667,North America,1895,Male,DESIGN,ARTS,4.289983383,24.50965343,74072.59259
Maria Schneider,FRANCE,FRA,48.8567,2.3508,Europe,1952,Female,FILM AND THEATRE,ARTS,7.352839994,19.26716738,13320.83871
Pietro Perugino,ITALY,ITA,42.953056,12.003333,Europe,1446,Male,FINE ARTS,ARTS,11.41049071,25.2637042,21302.74419
Filippo Lippi,Italy,ITA,43.783333,11.25,Europe,1406,Male,FINE ARTS,ARTS,9.302979727,25.31039554,32027.11765
Eric Allin Cornell,UNITED STATES,USA,37.429167,-122.138056,North America,1961,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,9.713948877,19.38335788,12004.63889
Michelozzo,ITALY,ITA,43.783333,11.25,Europe,1396,Male,DESIGN,ARTS,9.351041571,23.92471446,12910.65385
Liu Xiang,China,CHN,NA,NA,Asia,1983,Male,INDIVIDUAL SPORTS,SPORTS,4.297844792,14.88270175,60654.21212
Béla IV of Hungary,Hungary,HUN,47.433333,19.25,Europe,1206,Male,GOVERNMENT,INSTITUTIONS,10.87236614,24.75666642,18081.77143
Sobekneferu,Unknown,UNK,NA,NA,Unknown,-1850,Female,GOVERNMENT,INSTITUTIONS,8.989459378,24.80609887,8270.074074
Jean Vianney,France,FRA,45.8064,4.7536,Europe,1786,Male,RELIGION,INSTITUTIONS,7.669361314,23.55642845,41213.09677
James Franco,UNITED STATES,USA,37.429167,-122.138056,North America,1978,Male,FILM AND THEATRE,ARTS,3.681648598,18.90724988,612270.7907
Jean-Alain Boumsong,CAMEROON,CMR,4.05,9.7,Africa,1979,Male,TEAM SPORTS,SPORTS,6.460407281,16.98546179,41403.59259
Sonia Sotomayor,UNITED STATES,USA,40.8373,-73.886,North America,1954,Female,GOVERNMENT,INSTITUTIONS,1.446311637,17.03359951,189663.1538
Wyatt Earp,UNITED STATES,USA,40.911667,-90.644444,North America,1848,Male,OUTLAWS,PUBLIC FIGURE,3.334475942,24.2465996,354654.5556
Kal Penn,UNITED STATES,USA,40.824415,-74.212352,North America,1977,Male,FILM AND THEATRE,ARTS,3.117368697,17.3948361,314000.3438
Andrzej W. Schally,Poland,POL,54.683333,25.283333,Europe,1926,Male,MEDICINE,SCIENCE & TECHNOLOGY,12.0030378,22.05597979,5928.967742
Maria of Austria,BELGIUM,BEL,50.85,4.35,Europe,1505,Female,GOVERNMENT,INSTITUTIONS,8.598025769,22.851355,4766.461538
Alessandro Baricco,ITALY,ITA,45.066667,7.7,Europe,1958,Male,LANGUAGE,HUMANITIES,4.706879512,21.21543065,56149.58621
Jean-Marie Gustave Le Clézio,FRANCE,FRA,43.7034,7.2663,Europe,1940,Male,LANGUAGE,HUMANITIES,12.17479633,24.47807301,27694.91549
George H. Hitchings,United States,USA,46.980278,-123.885556,North America,1905,Male,MEDICINE,SCIENCE & TECHNOLOGY,11.36854732,21.8949122,4876.413793
Nicolas François Appert,France,FRA,NA,NA,Europe,1749,Male,INVENTION,SCIENCE & TECHNOLOGY,13.11754441,24.59204986,8322.506667
Andrew Fire,UNITED STATES,USA,37.429167,-122.138056,North America,1959,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,12.20632626,20.43981645,9270.916667
Allan McLeod Cormack,SOUTH AFRICA,ZAF,-26.204444,28.045556,Africa,1924,Male,NATURAL SCIENCES,SCIENCE & TECHNOLOGY,10.84493917,22.34643052,8187
